transcription_factor	tissue	motif.pval	open.pval	motif.median_diff	open.median_diff
JUND	Liver	7.27e-67	0.0265	1.69	1.411
JUN	Liver	1.22e-127	4.64e-06	7.318	5.806
JUN	Lung	2.23e-217	2.82e-77	7.041	5.421
JUN	MammaryGland	4.53e-134	1.2e-34	7.134	4.639
JUN	UmbilicalVein	2.31e-279	2.01e-54	6.335	4.099
KLF10	Liver	1.09e-10	0.159	8.998	2.135
KLF1	BoneMarrow	2.9e-74	6.99e-11	7.289	3.593
KLF1	EmbryonicKidney	4.16e-278	0.298	5.511	-1.337
KLF4	Breast	4.38e-17	0.000161	4.81	3.944
KLF4	Foreskin	3.56e-66	1.31e-08	5.102	4.69
KLF4	Skin	4.91e-69	5.27e-11	4.09	2.253
KLF5	Colon	1.68e-187	1.35e-51	7.105	5.727
KLF5	Stomach	2.31e-287	4.32e-10	7.075	2.411
KLF9	Breast	1.15e-101	5.25e-13	5.466	3.219
KLF9	EmbryonicKidney	1.59e-110	0.488	6.016	0.479
LEF1	BoneMarrow	2.51e-48	0.0226	8.117	3.012
MAFB	Foreskin	0.00794	0.0357	3.979	2.895
MAFF	BoneMarrow	1.18e-97	0.00236	8.208	6.226
MAFF	Liver	9.24e-218	0.0315	5.62	2.809
MAFK	Blood	6.24e-40	1.01e-12	6.046	5.046
MAFK	BoneMarrow	2.67e-68	4.99e-07	6.111	4.928
MAFK	Cervix	2.69e-57	6.57e-06	6.198	4.294
MAFK	Colon	5.37e-12	0.00507	8.298	6.382
MAFK	Embryo	1.59e-48	3.61e-13	5.815	5.554
MAFK	Liver	6.7e-109	7.47e-05	0.307	0.267
MAFK	Lung	7.41e-104	6.55e-22	5.467	4.419
MAX	Blood	1.07e-218	6.43e-39	4.281	3.071
MAX	BoneMarrow	2.43e-250	1.56e-10	4.826	2.692
MAX	Brain	2.89e-190	4.36e-27	6.041	4.668
MAX	Breast	7.52e-131	1.67e-07	6.811	3.002
MAX	Cervix	2.06e-102	0.108	8.526	4.749
MAX	Colon	6.27e-99	3.03e-22	7.604	6.368
MAX	Embryo	5.5e-191	7.91e-27	5.257	4.136
MAX	Liver	1.06e-171	0.099	7.499	1.736
MAX	Lung	1.81e-225	1.78e-18	4.326	2.566
MAX	UmbilicalVein	3.57e-100	1.22e-06	6.42	3.403
MAZ	Blood	1.25e-264	9.72e-85	7.943	6.273
MAZ	BoneMarrow	1.38e-301	3.08e-20	7.365	2.369
MAZ	Cervix	3.41e-230	1.68e-12	7.968	2.621
MAZ	EmbryonicKidney	7.18e-293	0.754	6.223	0.014
MAZ	Liver	6.66e-190	2.58e-18	7.932	3.881
MAZ	Lung	6.85e-301	1.64e-46	7.582	4.016
MEF2A	Blood	6.82e-46	0.001	8.31	8.309
MEF2A	Brain	5.76e-24	3.79e-05	10.245	8.075
MEF2C	Blood	4.79e-26	0.0389	10.167	7.458
MITF	Skin	1.78e-119	6.74e-16	5.144	4.469
MNT	Colon	2.08e-17	0.078	10.241	7.303
MNT	Liver	2.74e-243	0.00268	4.995	3.557
MYB	Blood	2.66e-285	8.59e-50	6.835	5.625
MYC	Blood	3.25e-181	5.79e-40	4.993	3.7
MYC	Bone	3.13e-114	5.75e-20	7.483	5.673
MYC	BoneMarrow	3.48e-164	1.32e-09	5.836	3.588
MYC	Brain	7.68e-74	5.45e-18	7.674	6.238
MYC	Breast	1.25e-246	1.13e-12	4.053	2.32
MYC	Cervix	7.02e-96	0.0343	7.961	1.91
MYC	Colon	2.44e-127	3.38e-32	6.088	4.78
MYC	Embryo	2.05e-68	4.94e-17	7.962	6.305
MYC	Liver	1.61e-74	8.59e-05	7.628	3.141
MYC	Lung	6.62e-206	3.96e-21	4.787	3.38
MYC	MammaryGland	1.63e-110	1.35e-18	6.935	5.802
MYCN	BoneMarrow	1.06e-77	4.49e-08	7.242	5.74
MYC	Prostate	1.42e-70	1.43e-06	6.376	4.344
MYC	Skin	4.22e-162	2.6e-22	5.115	3.123
MYC	UmbilicalVein	5.25e-63	4.79e-09	7.294	5.952
MYNN	BoneMarrow	3.07e-13	0.786	3.353	-0.852
MYOD1	Muscle	1.73e-218	4.62e-13	3.781	1.796
MYOG	Embryo	1.09e-14	0.0098	2.413	1.153
NANOG	Embryo	1.92e-304	4.78e-40	8.33	6.478
NANOG	Prostate	1.5e-101	0.00114	8.406	5.694
NEUROG2	FetalLung	5.44e-288	6.28e-08	6.233	2.939
NFATC1	Blood	9.62e-20	0.0199	7.791	7.288
NFATC1	UmbilicalVein	9.72e-14	0.1	10.853	9.981
NFE2	BoneMarrow	1.59e-55	4.94e-08	0.057	0.051
NFE2L2	Cervix	1.57e-25	0.000334	4.528	4.241
NFE2L2	Lung	4.74e-51	2.65e-12	3.642	3.015
NFIA	BoneMarrow	7.14e-139	2.21e-13	5.108	3.06
NFIA	Liver	2.53e-52	0.304	7.101	3.028
NFIL3	Liver	3.1e-43	0.0362	9.745	5.781
NFYA	Blood	8.46e-35	1.18e-08	9.2	7.391
NFYA	BoneMarrow	1.7e-139	8.17e-09	9.438	4.559
NFYA	Cervix	1.77e-62	0.00333	9.398	6.362
NFYA	Colon	7.94e-54	3.94e-08	9.842	9.143
NR2C2	Blood	1.39e-09	6.93e-05	4.734	3.791
NR2C2	BoneMarrow	3.33e-30	0.386	4.758	1.701
NR2C2	Cervix	1.34e-08	0.105	5.869	3.992
NR2C2	Liver	1.89e-09	0.343	5.945	1.078
NR2C2	Lung	2.2e-07	0.019	8.836	8.375
NR2F1	BoneMarrow	1.85e-291	6.86e-09	6.438	3.824
NR2F1	Cranial	2.93e-260	0.273	5.326	-0.798
NR2F2	BoneMarrow	3.16e-195	3.6e-08	8.728	5.382
NR2F2	Breast	2.56e-267	1.9e-16	5.926	3.469
NR2F2	Liver	1.08e-296	5.27e-07	7.078	4.254
NR2F2	Lung	6.01e-37	3.25e-07	7.477	5.86
NR2F6	BoneMarrow	2.3e-183	5.59e-06	7.068	3.858
NR2F6	Liver	2.75e-202	0.000148	8.017	3.684
NR3C1	Blood	5.71e-32	1.73e-08	3.648	3.534
NR3C1	Bone	3.31e-95	1.03e-09	2.383	2.391
NR3C1	Breast	8.75e-101	0.000345	2.966	1.529
NR3C1	Cervix	5.6e-29	0.0246	5.514	3.84
NR3C1	Liver	8.88e-06	0.6	2.873	1.063
NR3C1	Lung	3.05e-129	3.1e-17	3.157	2.604
NR3C1	Muscle	6.6e-99	0.000313	4.441	3.702
NR3C1	Prostate	1.72e-78	2.41e-09	2.866	2.38
NR4A1	BoneMarrow	1.17e-17	0.00103	6.82	3.043
