tf	tissue	model	path
CTCF	FetalLiver	CTCF_FetalLiver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_FetalLiver/CTCF_FetalLiver_2024-07-26.logistic.rds
CTCF	FetalLung	CTCF_FetalLung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_FetalLung/CTCF_FetalLung_2024-07-26.logistic.rds
CTCF	Foreskin	CTCF_Foreskin	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Foreskin/CTCF_Foreskin_2024-07-26.logistic.rds
CTCF	gastroesophagealsphincter	CTCF_gastroesophagealsphincter	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_gastroesophagealsphincter/CTCF_gastroesophagealsphincter_2024-07-26.logistic.rds
CTCF	Gingiva	CTCF_Gingiva	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Gingiva/CTCF_Gingiva_2024-07-26.logistic.rds
CTCF	Heart	CTCF_Heart	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Heart/CTCF_Heart_2024-07-26.logistic.rds
CTCF	Kidney	CTCF_Kidney	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Kidney/CTCF_Kidney_2024-07-26.logistic.rds
CTCF	Pancreas	CTCF_Pancreas	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Pancreas/CTCF_Pancreas_2024-07-26.logistic.rds
CTCF	PancreaticIslet	CTCF_PancreaticIslet	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_PancreaticIslet/CTCF_PancreaticIslet_2024-07-26.logistic.rds
CTCF	Prostate	CTCF_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Prostate/CTCF_Prostate_2024-07-26.logistic.rds
